,web_browser,operating_sys,from_URL,to_URL,city,time_zone,longitude,latitude,time_in,time_out
0,Mozilla/5.0,Windows,www.facebook.com,www.ncbi.nlm.nih.gov,Danvers,America/New_York,42.576698,-70.954903,2012-03-15 14:48:38,2012-03-16 18:40:47
2,Mozilla/4.0,Windows,t.co,boxer.senate.gov,Washington,America/New_York,38.9007,-77.043098,2012-03-16 17:45:41,2012-03-16 18:40:50
3,Mozilla/5.0,Macintosh,direct,apod.nasa.gov,Braz,America/Sao_Paulo,-23.549999,-46.616699,2012-03-16 18:37:48,2012-03-16 18:40:49
4,Mozilla/5.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,America/New_York,42.286499,-71.714699,2010-05-12 13:53:31,2012-03-16 18:40:51
5,Mozilla/5.0,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,America/New_York,42.286499,-71.714699,2010-05-12 13:55:06,2012-03-16 18:40:52
6,Mozilla/5.0,Windows,plus.url.google.com,www.nasa.gov,Luban,Europe/Warsaw,51.116699,15.2833,2012-03-16 18:34:14,2012-03-16 18:40:55
10,Mozilla/5.0,Windows,direct,www.nysdot.gov,Seattle,America/Los_Angeles,47.5951,-122.332603,2011-10-25 17:25:56,2012-03-16 18:40:58
11,Mozilla/5.0,Macintosh,t.co,oversight.house.gov,Washington,America/New_York,38.937599,-77.092796,2012-03-15 12:50:38,2012-03-16 18:40:59
12,Mozilla/5.0,Windows,direct,www.nysdot.gov,Alexandria,America/New_York,38.790901,-77.094704,2011-10-25 17:25:56,2012-03-16 18:40:59
14,Mozilla/5.0,Windows,direct,toxtown.nlm.nih.gov,Marietta,America/New_York,33.953201,-84.5177,2009-10-17 08:57:26,2012-03-16 18:41:02
15,Mozilla/5.0,Windows,forum2.hkgolden.com,www.ssd.noaa.gov,Central District,Asia/Hong_Kong,22.2833,114.150002,2011-09-29 17:40:30,2012-03-16 18:41:03
16,Mozilla/5.0,Windows,forum2.hkgolden.com,www.usno.navy.mil,Central District,Asia/Hong_Kong,22.2833,114.150002,2011-09-29 17:40:39,2012-03-16 18:41:03
17,Mozilla/5.0,Macintosh,t.co,www.usda.gov,Buckfield,America/New_York,44.299702,-70.369797,2012-03-15 19:26:16,2012-03-16 18:41:04
19,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Venice,Europe/Rome,45.438599,12.3267,2012-03-16 18:34:14,2012-03-16 18:41:04
20,Mozilla/5.0,Windows,www.facebook.com,voyager.jpl.nasa.gov,Alcal,Africa/Ceuta,37.516701,-5.9833,2012-03-13 20:29:09,2012-03-16 18:41:05
21,Mozilla/5.0,Macintosh,www.facebook.com,www.nasa.gov,Davidsonville,America/New_York,38.939201,-76.635002,2012-03-16 18:34:14,2012-03-16 18:41:07
22,Mozilla/4.0,Windows,direct,portal.hud.gov,Hockessin,America/New_York,39.785,-75.682297,2012-03-06 20:02:38,2012-03-16 18:41:07
23,Mozilla/5.0,Macintosh,www.facebook.com,www.tricare.mil,Lititz,America/New_York,40.174999,-76.3078,2012-02-26 00:57:09,2012-03-16 18:41:07
24,Mozilla/5.0,Windows,www.facebook.com,www.nasa.gov,Bilbao,Europe/Madrid,43.25,-2.9667,2012-03-16 18:34:14,2012-03-16 18:41:08
